name,age,birthcity,birthcountry,top_number,profession,grade,no_opinions,no_awards,no_nominations,known_for,best_roles,newest_productions
Maciej Stuhr ,47, Kraków,Polska ,,,"7,4",52 433,,,"Pokłosie,Bad Boy,33 sceny z życia","Alek Malinowski,Paweł Zawadzki,Tomek Wilczyński","Fucking Bornholm,Fuks 2,Szadź"
Rachel McAdams ,44, London,Kanada ,84,aktorki,"8,1",54 455,11,32,"Pamiętnik,Spotlight,Sherlock Holmes","Allie,Clare Abshire,Mary","Sherlock Holmes 3,Doktor Strange w multiwersum obłędu,Eurovision Song Contest: Historia zespołu Fire Saga"
Andrzej Grabowski ,70, Chrzanów,Polska ,,,"7,7",51 293,,,"Pitbull,Bad Boy,Druga połowa","Ferdynand Kiepski,Starszy aspirant Jacek Goc ""Gebels""","Ślub doskonały,Za duży na bajki,Jak pokochałam gangstera"
Agata Kulesza ,51, Szczecin,Polska ,33,aktorki,"8,3",50 589,12,15,"Sala samobójców,Róża,Ida","Marta Makowska,Teresa Klemańska,Róża Kwiatkowska","Wesele,25 lat niewinności. Sprawa Tomka Komendy,Skazana"
Ben Affleck ,50,Kalifornia,USA ,122,scenarzyści,"7,5",50 690,28,59,"Operacja Argo,Buntownik z wyboru,Pearl Harbor","Doug MacRay,Chuckie Sullivan,Christian Wolff","Justice League Part Two,The Flash,Głęboka woda"
J.K. Simmons ,67,Michigan,USA ,108,aktorzy,"8,3",50 237,16,17,"Whiplash,Palm Springs,Being the Ricardos","Howard Silk,Terence Fletcher,Vernon Schillinger","Batgirl,Night Sky,Liga Sprawiedliwości Zacka Snydera"
Mel Gibson ,66,Nowy Jork,USA ,96,scenarzyści,"8,4",45 409,14,25,"Waleczne Serce - Braveheart,Zabójcza broń 3,Co wiecie o swoich dziadkach?","William Wallace,Jerry Fletcher,Benjamin Martin","Agent Game,Hot Seat,Panama"
Viggo Mortensen ,64,Nowy Jork,USA ,24,aktorzy,"8,6",50 947,7,45,"Władca Pierścieni: Powrót króla,Green Book,Captain Fantastic","Ben,Nikolai Luzhin,Tony Lip","Crimes of the Future,Jeszcze jest czas,Green Book"
Vin Diesel ,55,Nowy Jork,USA ,178,aktorzy,"8,2",42 538,3,24,"Szybcy i wściekli,Szybcy i wściekli 6,Szeregowiec Ryan",Richard B. Riddick,"Fast X,Riddick 4: Furya,Szybcy i wściekli 9"
Anne Hathaway ,40,Nowy Jork,USA ,69,aktorki,"8,1",58 678,17,41,"Nędznicy,Mroczny Rycerz powstaje,Miłość i inne używki","Fantine,Maggie Murdock,Emma Morley","Get Happy: The Life of Judy Garland,Sesame Street,She Came to Me"
Jim Carrey ,60, Newmarket,Kanada ,77,aktorzy,"8,5",56 345,23,50,"Truman Show,Bruce Wszechmogący,Głupi i głupszy","Jeff / Pan Pickles,Hrabia Olaf,Andy Kaufman","Sonic 2: Szybki jak błyskawica,Kidding,Sonic. Szybki jak błyskawica"
Michael Caine ,89,Anglia,Wielka Brytania ,177,aktorzy,"8,2",56 806,12,33,"Młodość,Wbrew regułom,Hannah i jej siostry","Matthew Morgan,Fred Ballinger,Milo Tindle","Jan Žižka,Twist,Best Sellers"
Janusz Gajos ,83, Dąbrowa Górnicza,Polska ,46,aktorzy,"8,6",56 451,19,15,"Kler,Body/Ciało,Przesłuchanie","Cenzor Rabkiewicz,Major Zawada ""Kąpielowy"",Bohater","Fuks 2,Bez skrupułów,Król"
Nicolas Cage ,58,Kalifornia,USA ,,,"7,6",55 230,11,35,"Zostawić Las Vegas,Twierdza,Bez twarzy","Nick Cage / Nicky,Sailor Ripley,Ben Sanderson","Renfield,Nieznośny ciężar wielkiego talentu,The Old Ways"
Julianne Moore ,62,Karolina Północna,USA ,76,aktorki,"8,1",56 284,39,51,"Motyl Still Alice,Godziny,Boogie Nights","Alice Howland,Laura Brown,Cathy Whitaker","When You Finish Saving the World,Kobieta w oknie,Historia Lisey"
Bogusław Linda ,70, Toruń,Polska ,282,aktorzy,"8,1",55 620,8,13,"Psy,Tato,Kroll","Witek Długosz,Michał Sulecki,Jacek Grochala","Odwilż,Psy 3. W imię zasad,Diablo. Wyścig o wszystko"
